"_id","location.address.city","location.address.state","location.address.street1","location.address.street2","location.address.zipcode","location.geo.type","theaterId"
"59a47287cfa9a3a73e51ea40","Green Bay","WI","825 Pilgrim Way","Ste A","54304","Point",28
"59a47287cfa9a3a73e51ea41","Idaho Falls","ID","2300 East 17th Street","#1190","83404","Point",2891
"59a47287cfa9a3a73e51ea42","Little Rock","AR","6000 W Markham St","Ste 3162","72205","Point",2893
"59a47287cfa9a3a73e51ea43","Atlanta","GA","1349 Cumberland Mall","","30339","Point",2894
"59a47287cfa9a3a73e51ea44","Atlanta","GA","4800 Briarcliff Road","Ste 1019","30345","Point",2895
"59a47287cfa9a3a73e51ea45","Plano","TX","811 N Central Expressway","Ste 1205","75075","Point",2896
"59a47287cfa9a3a73e51ea46","Gaithersburg","MD","701 Russell Avenue","#H139","20877","Point",2888
"59a47287cfa9a3a73e51ea47","Lewisville","TX","2401 S Stemmons Fwy","Ste 1324","75067","Point",2898
"59a47287cfa9a3a73e51ea48","Gaithersburg","MD","15750 Shady Grove Rd","","20877","Point",288
"59a47287cfa9a3a73e51ea49","Las Vegas","NV","3820 S Maryland Pkwy","","89119","Point",289
"59a47287cfa9a3a73e51ea4a","Midland","TX","4511 N Midkiff Dr","Ste E05A","79705","Point",2892
"59a47287cfa9a3a73e51ea4b","Glen Burnie","MD","6722 Ritchie Hwy","","21061","Point",290
"59a47287cfa9a3a73e51ea4c","Humble","TX","20131 Highway 59 North","Ste. 2356","77338","Point",2900
"59a47287cfa9a3a73e51ea4d","Calumet City","IL","96 River Oaks Ctr","Ste. C19","60409","Point",2902
"59a47287cfa9a3a73e51ea4e","Sunrise","FL","12801 W Sunrise Blvd","Ste 835","33323","Point",2904
"59a47287cfa9a3a73e51ea4f","Ann Arbor","MI","442 Briarwood Circle","Ste. F125","48108","Point",2903
